ID	图块名	图集名	宽	高	X坐标	Y坐标	X偏移	Y偏移
0	空气	Outside_A5.png	32	32	0	32	0	0
9	草1	Outside_A2.png	32	32	0	0	0	0
10	草2	Outside_A2.png	32	32	32	0	0	0
11	草地1	Outside_A2.png	32	32	64	0	0	0
12	草地2	Outside_A2.png	32	32	96	0	0	0
13	草路1	Outside_A2.png	32	32	128	0	0	0
14	草路2	Outside_A2.png	32	32	160	0	0	0
15	石栏1	Outside_A2.png	32	32	192	0	0	0
16	石栏2	Outside_A2.png	32	32	224	0	0	0
17	草坪1	Outside_A2.png	32	32	256	0	0	0
18	草坪2	Outside_A2.png	32	32	288	0	0	0
19	石框1	Outside_A2.png	32	32	320	0	0	0
20	石框2	Outside_A2.png	32	32	352	0	0	0
21	木栏1	Outside_A2.png	32	32	384	0	0	0
22	木栏2	Outside_A2.png	32	32	416	0	0	0
23	地裂1	Outside_A2.png	32	32	448	0	0	0
24	地裂2	Outside_A2.png	32	32	480	0	0	0
25	草3	Outside_A2.png	32	32	0	32	0	0
26	草4	Outside_A2.png	32	32	32	32	0	0
27	草地3	Outside_A2.png	32	32	64	32	0	0
28	草地4	Outside_A2.png	32	32	96	32	0	0
29	草路3	Outside_A2.png	32	32	128	32	0	0
30	草路4	Outside_A2.png	32	32	160	32	0	0
31	石栏3	Outside_A2.png	32	32	192	32	0	0
32	石栏4	Outside_A2.png	32	32	224	32	0	0
33	草坪3	Outside_A2.png	32	32	256	32	0	0
34	草坪4	Outside_A2.png	32	32	288	32	0	0
35	石框3	Outside_A2.png	32	32	320	32	0	0
36	石框4	Outside_A2.png	32	32	352	32	0	0
37	木栏3	Outside_A2.png	32	32	384	32	0	0
38	木栏4	Outside_A2.png	32	32	416	32	0	0
39	地裂3	Outside_A2.png	32	32	448	32	0	0
40	地裂4	Outside_A2.png	32	32	480	32	0	0
41	草5	Outside_A2.png	32	32	0	64	0	0
42	草6	Outside_A2.png	32	32	32	64	0	0
43	草地5	Outside_A2.png	32	32	64	64	0	0
44	草地6	Outside_A2.png	32	32	96	64	0	0
45	草路5	Outside_A2.png	32	32	128	64	0	0
46	草路6	Outside_A2.png	32	32	160	64	0	0
47	石栏5	Outside_A2.png	32	32	192	64	0	0
48	石栏6	Outside_A2.png	32	32	224	64	0	0
49	草坪5	Outside_A2.png	32	32	256	64	0	0
50	草坪6	Outside_A2.png	32	32	288	64	0	0
51	石框5	Outside_A2.png	32	32	320	64	0	0
52	石框6	Outside_A2.png	32	32	352	64	0	0
53	木栏5	Outside_A2.png	32	32	384	64	0	0
54	木栏6	Outside_A2.png	32	32	416	64	0	0
55	地裂5	Outside_A2.png	32	32	448	64	0	0
56	地裂6	Outside_A2.png	32	32	480	64	0	0
57	土1	Outside_A2.png	32	32	0	96	0	0
