Transparent|透明
Shop Sign (Sword)|看板（剣）
Shop Sign (Sword & Shield)|看板（剣と盾）
Shop Sign (Armor)|看板（鎧）
Shop Sign (Sack)|看板（袋）
Shop Sign (Teapot)|看板（ポット）
Shop Sign (Inn)|看板（宿）
Shop Sign (Pub)|看板（酒場）
Shop Sign (Eatery)|看板（食堂）
Shop Sign (Hexagram)|看板（魔法陣）
Shop Sign (Staves)|看板（杖）
Shop Sign (Coin)|看板（コイン）
Shop Sign (Shoes)|看板（靴）
Shop Sign (Ring)|看板（指輪）
Shop Sign (Hammer)|看板（ハンマー）
Shop Sign (Crest)|看板（紋章）
Log Bridge (V)|丸太の橋（縦）
Log Bridge (H)|丸太の橋（横）
Wood Bridge (V)|木の橋（縦）
Wood Bridge (H)|木の橋（横）
Stone Bridge (V)|石の橋（縦）
Stone Bridge (H)|石の橋（横）
Wood Bridge (V)|木の橋（縦）
Wood Bridge (H)|木の橋（横）
Bridge Spar (Wood)|橋げた（木）
Bridge Spar (Wood)|橋げた（木）
Bridge Spar (Wood)|橋げた（木）
Bridge Spar (Wood)|橋げた（木）
Bridge Spar (Stone)|橋げた（石）
Bridge Spar (Stone)|橋げた（石）
Bridge Spar (Stone)|橋げた（石）
Bridge Spar (Stone)|橋げた（石）
Window|窓
Window|窓
Window|窓
Window|窓
Window|窓
Window|窓
Window|窓
Window|窓
Window|窓
Window|窓
Window|窓
Stained Glass Window|ステンドグラス
Window|窓
Window|窓
Window|窓
Window|窓
Window|窓
Window|窓
Window|窓
Stained Glass Window|ステンドグラス
Window|窓
Window|窓
Window|窓
Window|窓
Window|窓
Window|窓
Window|窓
Stained Glass Window|ステンドグラス
Window|窓
Window|窓
Window|窓
Window|窓
Chimney|煙突
Mooring Bollard|ビット
Mooring Bollard|ビット
Entrance|入口
Entrance|入口
Entrance (Top Half)|入口（上半分）
Entrance|入口
Entrance (Top Half)|入口（上半分）
Chimney|煙突
Sign|立て札
Sign|立て札
Well|井戸
Stepping Stones|踏み石
Barrel|樽
Grave|墓
Grave|墓
Vase|壺
Basin|桶
Basin|桶
Rock Fire Pit|石のかまど
Rock Fire Pit|石のかまど
Barricade (H)|バリケード（横）
Barricade (V)|バリケード（縦）
Beanstalk|豆の木
Grass|草
Grass|草
Grass|草
Grass|草
Stump|切り株
Tree|木
Tree|木
Boulder|岩
